post_id, created_at, poster_id 
3576036920469636, 1368123904, 2951506770
3556901905878822, 1363561759, 2671624905
3516981557005763, 1354044008, 1741098080
3578859615787545, 1368796887, 2663533451
3577900613806544, 1368568242, 2810373291
3564763617167278, 1365436139, 1097414213
3578537996711912, 1368720207, 1097414213
3578161331474543, 1368630403, 3156072283
3580128837579178, 1369099491, 2985534262
3571273587868494, 1366988237, 1258002675
3561941773226365, 1364763357, 1559735653
3577487453345795, 1368469737, 2876598513
3578249869209457, 1368651512, 1097414213
3420707779819924, 1331090548, 1889213710
3578310464429234, 1368665957, 2876598513
3420707779819924, 1331090548, 1889213710
3581130990743033, 1369338424, 3309600525
3556901905878822, 1363561759, 2671624905
3580879085187710, 1369278366, 2217311232
3580112634983896, 1369095631, 1746677274
1592540339, 1281292590, 1601389001
